"Year","Total Number of Entries Available","Number of Structures Released Annually"
"2020","171313","12362"
"2019","158951","11512"
"2018","147439","11178"
"2017","136261","11072"
"2016","125189","10820"
"2015","114369","9261"
"2014","105108","9567"
"2013","95541","9341"
"2012","86200","8761"
"2011","77439","7929"
"2010","69510","7747"
"2009","61763","7291"
"2008","54472","6904"
"2007","47568","7134"
"2006","40434","6407"
"2005","34027","5334"
"2004","28693","5149"
"2003","23544","4147"
"2002","19397","2994"
"2001","16403","2814"
"2000","13589","2627"
"1999","10962","2356"
"1998","8606","2057"
"1997","6549","1565"
"1996","4984","1172"
"1995","3812","941"
"1994","2871","1289"
"1993","1582","696"
"1992","886","192"
"1991","694","187"
"1990","507","142"
"1989","365","74"
"1988","291","53"
"1987","238","25"
"1986","213","18"
"1985","195","20"
"1984","175","22"
"1983","153","36"
"1982","117","32"
"1981","85","16"
"1980","69","16"
"1979","53","11"
"1978","42","6"
"1977","36","23"
"1976","13","13"
